序号,一级序号,二级序号,三级序号,二级产品类别,intended_use,grade,row_id
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01021,鲍曼不动杆菌耐碳青霉烯类抗生素基因检测试剂,用于检测人体样本中的鲍曼不动杆菌基因和耐碳青霉烯类抗生素基因。临床上用于鲍曼不动杆菌耐药性的辅助诊断。,Ⅲ,21
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01022,鼻病毒核酸检测试剂,用于检测人体样本中的鼻病毒核酸。临床上用于鼻病毒感染的辅助诊断。,Ⅲ,22
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01023,鼻疽菌抗原检测试剂,用于检测人体样本中的鼻疽菌抗原。临床上用于鼻疽菌感染的辅助诊断。,Ⅲ,23
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01024,类鼻疽菌抗原检测试剂,用于检测人体样本中的类鼻疽菌抗原。临床上用于类鼻疽菌感染的辅助诊断。,Ⅲ,24
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01025,斑疹伤寒立克次体抗体检测试剂,用于检测人体样本中的斑疹伤寒立克次体抗体。临床上用于斑疹伤寒的辅助诊断。,Ⅲ,25
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01026,变形杆菌OX19诊断菌液,用于检测人体样本中的立克次体抗体。临床上用于斑疹伤寒的辅助诊断。,Ⅲ,26
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01027,变形杆菌OX2诊断菌液,用于检测人体样本中的立克次体抗体。临床上用于斑疹伤寒的辅助诊断。,Ⅲ,27
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01028,变形杆菌OXK诊断菌液,用于检测人体样本中的立克次体抗体。临床上用于斑疹伤寒的辅助诊断。,Ⅲ,28
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01029,布鲁菌抗体/抗原检测试剂,用于检测人体样本中的布鲁菌抗体/抗原。临床上用于布鲁菌病的辅助诊断。,Ⅲ,29
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01030,肠道病毒71型抗体/核酸检测试剂,用于检测人体样本中的肠道病毒71型抗体/核酸。临床上用于肠道病毒71型感染的辅助诊断。,Ⅲ,30
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01031,肠道病毒抗体/核酸检测试剂,用于检测人体样本中的肠道病毒抗体/核酸。临床上用于肠道病毒感染的辅助诊断。,Ⅲ,31
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01032,肠道致病性大肠埃希菌诊断血清,用于检测人体样本中的肠道致病性大肠埃希菌。临床上用于肠道致病性大肠埃希菌感染的辅助诊断。,Ⅲ,32
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01033,大肠埃希菌O157抗原检测试剂,用于检测人体样本中的大肠埃希菌O157抗原。临床上用于肠出血性大肠埃希菌感染（如出血性结肠炎及溶血性尿毒综合征）的辅助诊断。,Ⅲ,33
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01034,单纯疱疹病毒Ⅰ型（HSV Ⅰ）IgG抗体亲合力检测试剂,用于检测人体样本中的单纯疱疹病毒Ⅰ型（HSV Ⅰ）IgG抗体亲合力。临床上用于辅助诊断单纯疱疹病毒Ⅰ型感染的感染阶段。,Ⅲ,34
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01035,单纯疱疹病毒Ⅰ型（HSV Ⅰ）抗体/核酸检测试剂,用于检测人体样本中的单纯疱疹病毒Ⅰ型（HSV Ⅰ）抗体/核酸。临床上用于单纯疱疹病毒Ⅰ型感染的辅助诊断。,Ⅲ,35
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01036,单纯疱疹病毒Ⅱ型（HSV Ⅱ）IgG抗体亲合力检测试剂,用于检测人体样本中的单纯疱疹病毒Ⅱ型（HSV Ⅱ）IgG抗体亲合力。临床上用于辅助判断单纯疱疹病毒Ⅱ型感染的感染阶段。,Ⅲ,36
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01037,单纯疱疹病毒Ⅱ型（HSV Ⅱ）抗体/核酸检测试剂,用于检测人体样本中的单纯疱疹病毒Ⅱ型（HSV Ⅱ）抗体/核酸。临床上用于单纯疱疹病毒Ⅱ型感染的辅助诊断。,Ⅲ,37
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01038,登革病毒抗原/抗体/核酸检测试剂,用于检测人体样本中的登革病毒抗原/抗体/核酸。临床上用于登革热疾病的辅助诊断。,Ⅲ,38
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01039,恶性疟原虫抗原检测试剂,用于检测人体样本中的恶性疟原虫抗原。临床上用于恶性疟的辅助诊断。,Ⅲ,39
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01040,间日疟原虫抗原检测试剂,用于检测人体样本中的间日疟原虫抗原。临床上用于间日疟的辅助诊断。,Ⅲ,40
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01041,疟原虫抗原检测试剂,用于检测人体样本中疟原虫抗原。临床上用于疟疾的辅助诊断。,Ⅲ,41
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01042,发热伴血小板减少综合征病毒（SFTSV）抗体/核酸检测试剂,用于检测人体样本中的发热伴血小板减少综合征病毒（SFTSV）特异性抗体/核酸。临床上用于发热伴血小板减少综合征的辅助诊断。,Ⅲ,42
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01043,非密螺旋体脂质抗体检测试剂,用于检测人体样本中的非密螺旋体脂质抗体。临床上用于梅毒感染的辅助诊断。,Ⅲ,43
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01044,肺炎克雷伯菌核酸检测试剂,用于检测人体样本中的肺炎克雷伯菌核酸。临床上用于肺炎克雷伯菌感染的辅助诊断。,Ⅲ,44
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01045,肺炎链球菌抗原/核酸检测试剂,用于检测人体样本中的肺炎链球菌抗原/核酸。临床上用于肺炎链球菌性肺炎的辅助诊断。,Ⅲ,45
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01046,肺炎衣原体抗原/抗体/核酸检测试剂,用于检测人体样本中的肺炎衣原体抗原/IgM抗体/IgG抗体/核酸。临床上用于衣原体性肺炎的辅助诊断。,Ⅲ,46
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01047,肺炎支原体耐药基因检测试剂,用于检测人体样本中的肺炎支原体抗大环内酯类抗生素耐药基因。临床上用于肺炎支原体耐药性的辅助诊断。,Ⅲ,47
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01048,肺炎支原体抗原/抗体/核酸检测试剂,用于检测人体样本中的肺炎支原体抗原/IgM抗体/IgG抗体/核酸。临床上用于支原体肺炎的辅助诊断。,Ⅲ,48
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01049,分枝杆菌核酸检测试剂,用于检测人体样本中的分枝杆菌核酸。临床上用于结核感染的辅助诊断及菌种鉴别。,Ⅲ,49
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01050,风疹病毒IgG抗体亲合力检测试剂,用于检测人体样本中风疹病毒的特异性IgG抗体亲合力。临床上用于辅助判断风疹病毒感染的感染阶段。,Ⅲ,50
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01051,风疹病毒抗体/核酸检测试剂,用于检测人体样本中的风疹病毒抗体/核酸。临床上用于风疹病毒感染的辅助诊断。,Ⅲ,51
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01052,副流感病毒抗原/抗体/核酸检测试剂,用于检测人体样本中副流感病毒抗原/抗体/核酸。临床上用于副流感病毒感染的辅助诊断。,Ⅲ,52
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01053,庚型肝炎病毒IgG抗体检测试剂,用于检测人体样本中的庚型肝炎病毒IgG抗体。临床上用于庚型肝炎的辅助诊断。,Ⅲ,53
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01054,弓形虫IgG抗体亲合力检测,用于检测人体样本中的弓形虫IgG抗体亲合力。临床上用于辅助判断弓形虫感染的感染阶段。,Ⅲ,54
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01055,弓形虫IgG/IgM抗体检测试剂,用于检测人体样本中的弓形虫IgG/IgM抗体。临床上用于弓形虫感染的辅助诊断。,Ⅲ,55
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01056,钩端螺旋体抗体检测试剂,用于检测人体样本中的钩端螺旋体抗体。临床上用于钩端螺旋体病的辅助诊断。,Ⅲ,56
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01057,梅毒螺旋体抗体检测试剂,用于检测人体样本中的梅毒螺旋体抗体。临床上用于梅毒螺旋体感染的辅助诊断。,Ⅲ,57
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01058,光滑假丝酵母菌核酸检测试剂,用于检测人体样本中的光滑假丝酵母菌核酸。临床上用于光滑假丝酵母菌感染的辅助诊断。,Ⅲ,58
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01059,汉坦病毒（HV）抗体检测试剂,用于检测人体样本中的汉坦病毒（HV）抗体。临床上用于急性肾综合征出血热的辅助诊断。,Ⅲ,59
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01060,呼吸道合胞病毒（RSV）A、B分型核酸检测试剂,用于检测人体样本中的呼吸道合胞病毒（RSV）A型和B型基因分型检测。临床上用于呼吸道合胞病毒感染的分型及治疗指导。,Ⅲ,60
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01061,呼吸道合胞病毒（RSV）抗原/抗体/核酸检测试剂,用于检测人体样本中的呼吸道合胞病毒（RSV）抗原/抗体/核酸。临床上用于呼吸道合胞病毒感染的辅助诊断。,Ⅲ,61
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01062,华支睾吸虫抗体检测试剂,用于检测人体样本中特异性华支睾吸虫抗体。临床上用于华支睾吸虫感染的辅助诊断。,Ⅲ,62
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01063,甲型肝炎病毒（HAV）抗体/核酸检测试剂,用于检测人体样本中的甲型肝炎病毒（HAV）抗体/核酸。临床上用于甲型肝炎的辅助诊断。,Ⅲ,63
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01064,乙型肝炎病毒e抗体（Anti-HBe）检测试剂,用于检测人体样本中的乙型肝炎病毒e抗体（Anti-HBe）。临床上用于乙型肝炎病毒感染的辅助诊断。,Ⅲ,64
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01065,乙型肝炎病毒e抗原（HBeAg）检测试剂,用于检测人体样本中的乙型肝炎病毒e抗原（HBeAg）。临床上用于乙型肝炎病毒感染的辅助诊断和监测。,Ⅲ,65
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01066,乙型肝炎病毒表面抗体（Anti-HBs）检测试剂,用于检测人体样本中的乙型肝炎病毒表面抗体（Anti-HBs）。临床上用于乙型肝炎病毒感染的辅助诊断。,Ⅲ,66
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01067,乙型肝炎病毒表面抗原（HBsAg）检测试剂,用于检测人体样本中的乙型肝炎病毒表面抗原（HBsAg）。临床上用于乙型肝炎病毒感染的辅助诊断。,Ⅲ,67
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01068,乙型肝炎病毒表面抗原（HBsAg）确认试剂,用于检测人体样本中的乙型肝炎病毒表面抗原（HBsAg）。临床上用于确认乙型肝炎病毒检测结果具有反应性的样本。,Ⅲ,68
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01069,乙型肝炎病毒大蛋白检测试剂,用于检测人体样本中的乙型肝炎病毒大蛋白。临床上用于乙型肝炎病毒感染的辅助诊断。,Ⅲ,69
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01070,乙型肝炎病毒（HBV）核酸检测试剂,用于检测人体样本中的乙型肝炎病毒（HBV）核酸。临床上用于乙型肝炎的辅助诊断及疗效观察。,Ⅲ,70
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01071,乙型肝炎病毒核心抗体（Anti-HBc）检测试剂,用于检测人体样本中的乙型肝炎病毒核心抗体（Anti-HBc）。临床上用于乙肝病毒感染的辅助诊断和监测。,Ⅲ,71
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01072,乙型肝炎病毒（HBV）基因分型检测试剂,用于检测人体样本中乙型肝炎病毒（HBV）基因型别。临床上用于乙型肝炎病毒感染的辅助诊断。,Ⅲ,72
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01073,乙型肝炎病毒耐药基因检测试剂,用于检测人体样本中的乙型肝炎病毒的耐药基因突变。临床上用于乙型肝炎病毒耐药性的辅助诊断。,Ⅲ,73
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01074,乙型肝炎病毒（HBV）前S1抗原/抗体检测试剂,用于检测人体样本中的乙型肝炎病毒（HBV）前S1抗原/抗体。临床上用于乙型肝炎的辅助诊断。,Ⅲ,74
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01075,乙型肝炎病毒前S2抗原/抗体检测试剂,用于检测人体样本中的乙型肝炎病毒前S2抗原/抗体。临床上用于乙型肝炎的辅助诊断。,Ⅲ,75
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01076,乙型肝炎病毒前S抗原检测试剂,用于检测人体样本中的乙型肝炎病毒前S抗原。临床上用于乙型肝炎的辅助诊断。,Ⅲ,76
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01077,丙型肝炎病毒基因分型检测试剂,用于检测人体样本中丙型肝炎病毒基因型别。临床上用于丙型肝炎病毒感染的分型和指导治疗。,Ⅲ,77
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01078,丙型肝炎病毒（HCV）抗体确认试剂,用于检测人体样本中的丙型肝炎病毒（HCV）抗体。临床上用于确认丙型肝炎病毒（HCV）抗体检测结果具有反应性的样本。,Ⅲ,78
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01079,丙型肝炎病毒（HCV）抗原/抗体/核酸检测试剂,用于检测人体样本中的丙型肝炎病毒（HCV）抗原/抗体/核酸。临床上用于丙型肝炎的辅助诊断。,Ⅲ,79
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01080,丁型肝炎病毒（HDV）抗原/抗体/核酸检测试剂,用于检测人体样本中的丁型肝炎病毒（HDV）抗原/抗体/核酸。临床上用于丁型肝炎的辅助诊断。,Ⅲ,80
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01081,甲型H1N1流感病毒抗原/核酸检测试剂,用于检测人体样本中的甲型H1N1流感病毒抗原/核酸。临床上用于甲型H1N1流感的辅助诊断和鉴别诊断。,Ⅲ,81
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01082,甲型流感病毒抗原/抗体/核酸检测试剂,用于检测人体样本中的甲型流感病毒抗原/抗体/核酸。临床上用于甲型流感的辅助诊断和鉴别诊断。,Ⅲ,82
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01083,乙型流感病毒抗原/抗体/核酸检测试剂,用于检测人体样本中的乙型流感病毒抗原/抗体/核酸。临床上用于乙型流感的辅助诊断和鉴别诊断。,Ⅲ,83
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01084,乙型脑炎病毒抗体检测试剂,用于检测人体样本中的乙型脑炎病毒抗体。临床上用于流行性乙型脑炎的辅助诊断。,Ⅲ,84
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01085,艰难梭菌毒素A/毒素B检测试剂,用于检测人体粪便样本中的艰难梭菌毒素A/毒素B。临床上用于艰难梭菌感染的辅助诊断。,Ⅲ,85
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01086,艰难梭菌谷氨酸脱氢酶抗原检测试剂,用于检测人体粪便样本中的艰难梭菌谷氨酸脱氢酶。临床上用于艰难梭菌感染的辅助诊断。,Ⅲ,86
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01087,艰难梭菌核酸检测试剂,用于检测人体粪便样本中的艰难梭菌毒素基因。临床上用于艰难梭菌感染的辅助诊断。,Ⅲ,87
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01088,结核分枝杆菌抗原/抗体/核酸检测试剂,用于检测人体样本中的结核分枝杆菌抗原/抗体/核酸。临床上用于结核病的辅助诊断。,Ⅲ,88
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01089,结核分枝杆菌耐药基因检测试剂,用于检测人体样本中的结核分枝杆菌耐药基因。临床上用于结核分枝杆菌耐药性的辅助诊断。,Ⅲ,89
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01090,结核感染T细胞释放γ-干扰素检测试剂,用于检测人体样本中T淋巴细胞在结核分枝杆菌特异性抗原刺激下产生的γ-干扰素的水平。临床上用于结核病的辅助诊断。,Ⅲ,90
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01091,解脲脲原体基因分型检测试剂,用于检测人体样本中的解脲脲原体基因分型。临床上用于解脲脲原体感染的辅助诊断。,Ⅲ,91
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01092,解脲脲原体（UU）抗体/核酸检测试剂,用于检测人体样本中的解脲脲原体（UU）抗体/核酸。临床上用于解脲脲原体感染的辅助诊断。,Ⅲ,92
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01093,微小脲原体（UP）核酸检测试剂,用于检测人体样本中的微小脲原体（UP）的核酸。临床上用于微小脲原体感染的辅助诊断。,Ⅲ,93
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01094,人型支原体（MH）核酸检测试剂,用于检测人体样本中的人型支原体（MH）核酸。临床上用于人型支原体感染的辅助诊断。,Ⅲ,94
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01095,生殖支原体（MG）核酸检测试剂,用于检测人体样本中生殖支原体（MG）核酸。临床上用于生殖支原体感染的辅助诊断。,Ⅲ,95
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01096,金黄色葡萄球菌核酸检测试剂,用于检测人体样本中的金黄色葡萄球菌核酸。临床上用于金黄色葡萄球菌感染的辅助诊断。,Ⅲ,96
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01097,金黄色葡萄球菌抗原检测试剂,用于检测人体样本中的金黄色葡萄球菌抗原。临床上用于金黄色葡萄球菌感染的辅助诊断。,Ⅲ,97
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01098,巨细胞病毒IgG抗体亲合力检测试剂,用于检测人体样本中巨细胞病毒IgG抗体的亲合力。临床上用于辅助判断巨细胞病毒感染的感染阶段。,Ⅲ,98
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01099,巨细胞病毒抗体/核酸检测试剂,用于检测人体样本中的巨细胞病毒抗体/核酸。临床上用于巨细胞病毒感染的辅助诊断。,Ⅲ,99
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01100,抗EB病毒衣壳抗原IgG抗体亲合力检测试剂,用于检测人体样本中抗EB病毒衣壳抗原IgG抗体亲合力。临床上用于辅助判断EB病毒感染的感染阶段。,Ⅲ,100
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01101,抗细小病毒B19抗体检测试剂,用于检测人体样本中的抗细小病毒B19抗体。临床上用于细小病毒感染的辅助诊断。,Ⅲ,101
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01102,柯萨奇病毒B组抗体检测试剂,用于检测人体样本中的柯萨奇病毒B组抗体。临床上用于柯萨奇病毒B组感染的辅助诊断。,Ⅲ,102
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01103,狂犬病病毒IgG抗体检测试剂,用于检测人体样本中的狂犬病病毒IgG抗体。临床上用于接种狂犬病疫苗后人体狂犬病毒IgG抗体水平的监测。,Ⅲ,103
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01104,淋球菌抗原/核酸检测试剂,用于检测人体样本中的淋球菌抗原/核酸。临床上用于淋球菌感染的辅助诊断。,Ⅲ,104
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01105,流行性出血热病毒抗体检测试剂,用于检测人体样本中的流行性出血热病毒抗体。临床上用于流行性出血热的辅助诊断。,Ⅲ,105
6,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01106,轮状病毒抗原/核酸检测试剂,用于检测人体样本中的轮状病毒抗原/核酸。临床上用于轮状病毒感染的辅助诊断。,Ⅲ,106
7,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01107,麻风分枝杆菌抗体检测试剂,用于检测人体样本中的麻风分枝杆菌抗体。临床上用于麻风的辅助诊断。,Ⅲ,107
8,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01108,麻疹病毒抗体/核酸检测试剂,用于检测人体样本中的麻疹病毒抗体/核酸。临床上用于麻疹的辅助诊断。,Ⅲ,108
9,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01109,马尔尼菲篮状菌抗原检测试剂,用于检测人体样本中的马尔尼菲篮状菌抗原。临床上用于马尔尼菲篮状菌感染的辅助诊断。,Ⅲ,109
10,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01110,耐甲氧西林金黄色葡萄球菌核酸检测试剂,用于检测人体样本中的耐甲氧西林金黄色葡萄球菌的核酸。临床上用于耐甲氧西林金黄色葡萄球菌感染的辅助诊断。,Ⅲ,110
1,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01111,耐甲氧西林金黄色葡萄球菌耐药基因检测试剂,用于检测人体样本中的耐甲氧西林金黄色葡萄球菌的耐药基因。临床上用于耐甲氧西林金黄色葡萄球菌耐药性的辅助诊断。,Ⅲ,111
2,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01112,耐万古霉素肠球菌基因检测试剂,用于检测人体样本中肠球菌基因和耐万古霉素肠球菌特异性基因。临床上用于耐万古霉素肠球菌耐药性的辅助诊断。,Ⅲ,112
3,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01113,囊虫病（CYT）抗体检测试剂,用于检测人体样本中的囊虫病（CYT）抗体。临床上用于囊虫病的辅助诊断。,Ⅲ,113
4,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01114,念珠菌甘露聚糖抗原/IgG抗体检测试剂,用于检测人体样本中的念珠菌甘露聚糖抗原/IgG抗体。临床上用于念珠菌感染的辅助诊断。,Ⅲ,114
5,1,与致病性病原体抗原、抗体以及核酸等检测相关的试剂,01115,念珠菌烯醇化酶IgG抗体检测试剂,用于检测人体样本中的念珠菌烯醇化酶IgG抗体。临床上用于念珠菌感染的辅助诊断。,Ⅲ,115
